30	-128	-128
30	-128	-118
30	-128	-108
30	-128	-98
30	-128	-88
30	-128	-78
30	-128	-68
30	-128	-58
30	-128	-48
30	-128	-38
30	-128	-28
30	-128	-18
30	-128	-8
30	-128	2
30	-128	12
30	-128	22
30	-128	32
30	-128	42
30	-128	52
30	-128	62
30	-128	72
30	-128	82
30	-128	92
30	-128	102
30	-128	112
30	-128	122
30	-128	127
30	-118	-128
30	-118	-118
30	-118	-108
30	-118	-98
30	-118	-88
30	-118	-78
30	-118	-68
30	-118	-58
30	-118	-48
30	-118	-38
30	-118	-28
30	-118	-18
30	-118	-8
30	-118	2
30	-118	12
30	-118	22
30	-118	32
30	-118	42
30	-118	52
30	-118	62
30	-118	72
30	-118	82
30	-118	92
30	-118	102
30	-118	112
30	-118	122
30	-118	127
30	-108	-128
30	-108	-118
30	-108	-108
30	-108	-98
30	-108	-88
30	-108	-78
30	-108	-68
30	-108	-58
30	-108	-48
30	-108	-38
30	-108	-28
30	-108	-18
30	-108	-8
30	-108	2
30	-108	12
30	-108	22
30	-108	32
30	-108	42
30	-108	52
30	-108	62
30	-108	72
30	-108	82
30	-108	92
30	-108	102
30	-108	112
30	-108	122
30	-108	127
30	-98	-128
30	-98	-118
30	-98	-108
30	-98	-98
30	-98	-88
30	-98	-78
30	-98	-68
30	-98	-58
30	-98	-48
30	-98	-38
30	-98	-28
30	-98	-18
30	-98	-8
30	-98	2
30	-98	12
30	-98	22
30	-98	32
30	-98	42
30	-98	52
30	-98	62
30	-98	72
30	-98	82
30	-98	92
30	-98	102
30	-98	112
30	-98	122
30	-98	127
30	-88	-128
30	-88	-118
30	-88	-108
30	-88	-98
30	-88	-88
30	-88	-78
30	-88	-68
30	-88	-58
30	-88	-48
30	-88	-38
30	-88	-28
30	-88	-18
30	-88	-8
30	-88	2
30	-88	12
30	-88	22
30	-88	32
30	-88	42
30	-88	52
30	-88	62
30	-88	72
30	-88	82
30	-88	92
30	-88	102
30	-88	112
30	-88	122
30	-88	127
30	-78	-128
30	-78	-118
30	-78	-108
30	-78	-98
30	-78	-88
30	-78	-78
30	-78	-68
30	-78	-58
30	-78	-48
30	-78	-38
30	-78	-28
30	-78	-18
30	-78	-8
30	-78	2
30	-78	12
30	-78	22
30	-78	32
30	-78	42
30	-78	52
30	-78	62
30	-78	72
30	-78	82
30	-78	92
30	-78	102
30	-78	112
